Отметка времени,Город обучения.,#VALUE!,Курс,"Названия факультета / 
института",Название направления,Нагрузка в ВУЗе,"Качество получаемого образования 
в общем и целом","Оценка
преподавательского состава",Недостатки,"Уровень изучения 
английского языка","Качество получаемого образования
 по иностранным языкам","Уровень изучения
 программирования","Качество получаемого образования
 по программированию","Распределение
 по профилям",После какого курса и как происходит распределение,Студенческая жизнь,Общага,"Ссылка на студента
 Не стесняйся писать ему",
,,(НИУ) МАИ,1,N6 Аэрокосмический,12.03.04 Биотехнические системы и технологии,"около 20 пар в неделю, сложнее всего пока по математическим дисциплинам (линейная алгебра, матанализ). также мне досталась самая жесткая преподша по химии, вот ей что-либо сдать суперсложно. сложность гумунитарных предметов зависит от преподавателя, кому-то все равно и поставит автоматы, а кому-то придется сдавать зачет(но мне такие пока не попадались)
ну в общем, очень многое зависит от преподавателя. нагрузка не очень большая, получается совмещать с работой, по началу будет сложно, но после ""вливания"" в учебу даже появится свободное время

экзаменов по-разному, в 1 семе был 1 экзамен, во 2 семе уже 2 экзамена, в 3 будет 6",4,4,,"в маи можно выбрать иностраный язык, но в основном все занимаются английским конечно.
в начале года весь поток писал тест, по которому определяли уровень английского и уже исходя из этого формировали группы.
по поводу дополнительных языков нинаю(

в целом довольна, английский не забывается, но и особого напряга с этим предметом нет",5,"в 1 семестре был предмет ""Информационные технологии"", там преподавательница давала задания нам по Python, ничего не объясняла конечно же, но дала сайт, где можно учиться

всем не знающим тройки нарисовала в итоге), но тут тоже очень многое от преподавателя зависит",3,Да,"распределение происходит еще на этапе зачисления, после общего приказа о зачислении вы можете выбрать профиль и следующим приказом вас распределают","Есть много различных объединений, каждый найдет себе подходящее","в маи около 10 корпусов общежитий
несколько корпусов находятся на Планерной (новые супер блочки), хз кого туда заселяют,
один из корпусов находится на станции метро Речной вокзал,
остальные - рядом с главным учебным корпусом между станциями Войковская и Сокол

условия достойные, я живу в 6 корпусе, это общага коридорного типа, с хорошим ремонтом, тараканчики конечно встречаются, но не критично.

рядом находится общежитие ""Башня"", там большой коворкинг, куда можно прийти поботать.

если говорить о самом заселении, то в приказах о зачислении уже будет инфа получили вы общагу или нет, а в какой корпус попадете это уже лотерея. узнаете только в день заселения",https://vk.com/varenichkina,
6/1/2023 17:53:34,Москва / область,(НИУ) МАИ,1,"1 институт, авиационная техника",24.03.04 Авиастроение,"В среднем 3 пары в неделю, во 2 семестре нагрузка гораздо выше. Много чертежей, зачетов 6, экзамена 3",4,4,,0 знание языка и таким же осталось ,1,"1 семестр, учили на языке python, 5 баллов ",5,Да,,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,(НИУ) МАИ,1,Авиастроение,24.03.04 Авиастроение,"Пары и зачёты/ экзамены чередуются каждый сем, в первый сем 1 экзамен, во второй 5, дз зависит от препода",4,4,Иногда пары в разных корпусах,Нет,3,Питон,3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Условия норм, коворкинги есть, но не во всех общагах",,
,,(НИУ) МАИ,1,"Робототехнические системы
 и технологии(7фак)",,иногда не хватает времени чтобы поесть,2,3,"к студентам относятся скорее как к скотам, большинство материала преподносится как ""разбирайтесь сами""","зависит от препода, есть реально хорошие англ, можно выбрать немецкий 
если что номер направления 24.05.05",4,"на моём факультете программирование больше для галочки, на 8 факультете учатся нереальные прогеры, там очень развитая программа обучения, этот фак сотрудничает с яндексом, сбером, тинькофф, озоном и там ещё с десяток других айти компаний",2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","общаги зависят от места к месту, я живу в общежитии 3(башня), все хорошо, опрятно, ремонт, огроооооомный коворк, раньше жил в общежитии дружба, там нет ремонта, но зато там есть коворк, 4 спортивных зала, библиотека, столовая ",@perkacene,
4/14/2025 15:42:45,Москва / область,(НИУ) МАИ,1,8 институт (кафедра Теории вероятностей и математического моделирования) ,01.03.04 Прикладная математика,"В среднем 3 пары в день. Есть иногда по 2 пары, есть и по 4. Шестидневка! Самые тяжелые это мат. дисциплины: дискра, матан и линал, смотря от семинариста и лектора. Но на 1 курсе у 8 института у всех есть также прога (питон), и предметы ВЕликого (фундаментальная информатика и архитектура компьютера), много лаб, в общем сложный материал и СЛОЖНЫЙ зачёт, особенно если не знакомились с методичкой. За посещаемостью лекторы не следят вообще (ну или мне так свезло). Всего получается 3 экзамена по мат. дисциплинам, 3 зачёта с оценкой по прогам (питон + фунда + архитектура), также могут добавить в программу иные дисциплины, например ОРГ или Обучение служением (там тоже зачёты). В МАИ есть система автоматов, главное стараться) ",4,5,"Иногда организация, особенно если что-то срочно нужно сделать/неожиданно изменилось","Английский будете изучать 6 семестров. В начале 1 курса мы писали входной тест и распределили по группам по результатам этого теста. Вас ХОТЯТ научить английскому, много домашек (хотя, тоже от преподавателя зависит). Вообще, касательно английского очень много зависит от того, к какому преподавателем попасть (а они каждый семестр меняются). Есть разговорные кружки, есть всякие факультативы, главное заинтересоваться! ",4,"На данный момент питон и СИ. Оба языка с нуля, тоже много что от преподавателя семинариста зависит. Питор ведёт Крылов СС (ЕГЭ по информатика привет), СИ ведёт Валентин Евгеньевич Зайцев",5,Да,"Наш поток сразу разделили на ПМ, ПМИ и ФИИТ, со всеми планами можно ознакомиться на сайте (благо, он красивый и понятный) ","Есть много различных объединений, каждый найдет себе подходящее","Я живу в Башне, это 5 минут пешком до ГУК-а. Заселяют в зависимости от баллов, также часто проводят ремонтные работы по облагораживанию этажей. Например, в том году сделали 16 этаж, теперь в нём живут первокурсники. Сейчас начали ремонт 7 и 8 этажей, думаю, как раз 2025 год туда и поселят. Но так общаг у МАИ очень много, реально. Есть Альфа буквальро у ГУКа (не шучу, дорогу перейти), есть общага МОРГ, есть Дружба (2 остановки на метро). Далее будет только про Башню. Блок это 2 комнаты двушка и трёшка, на блок туалет и ванна (отдельные, удобно), блоки могут быть смешанные (мальчики и девочки в разных комнатах, но на один туалет с ванной). Кухня с 2 раковинами, большим столом и 2 плитами на 4 конфорки на каждом этаже. Есть прачечная с платными стиралками. В низу башни расположен коворкинг (можно даже в плойку поиграть), работает с 9 до 23 часов в будни, и с 13 в выходные. Гостей водить можно по пропускам также с 9 до 23",,
4/15/2025 15:29:49,Москва / область,(НИУ) МАИ,1,"Системы управления, информатика и электроэнергетика",09.03.02 Информационные системы и технологии,В неделю порядка 18-и,5,5,,"Высокий, есть другие языки, можно получить второе высшее связанное с языкам, 5+",5,"Очень высокий, база желательна, но не обязательна, с первой пары требуют максимально оптимизированные, «красивые» программы с соблюдением правил хорошего тона написания кода, 5++",5,Да,2,"Есть много различных объединений, каждый найдет себе подходящее","У нас около 10-и общаг, все находятся относительно неделеко, я живу в 3-ех минутах пешком от вуза, шикарные условия ",@alyona_tuleninova_114 Пишите),
4/21/2025 0:49:26,Москва / область,(НИУ) МАИ,1,Компьютерные технологии и математика ,01.03.02 Прикладная математика и информатика,Много,4,3,"Все норм, жить можно ","Сидим пиздим, халява короче ",3,"Ну база минимальная нужна, а так норм, если ботать",4,Да,3,"Есть много различных объединений, каждый найдет себе подходящее",Все гуд,,Физика
,,(НИУ) МАИ,1,Компьютерные науки и прикладная математика,01.03.02 Прикладная математика и информатика,,4,4,"1) Есть преподы, которые не соблюдают дд и иногда просто не появляются на парах
2) Лабники и лекторы в основном не взаимосвязаны друг с другом, и оценка за рейтинг на зачетной неделе может очень сильно удивить","Профильный английский, но уклон больше на физику/химию. Можно взять немецкий и французский, но там группа иногда может не набраться. Преподы есть нормальные на кафедре И-14, но есть трое, кто ужасно преподает и больше всех еще требует",3,"1 курс - питон + си: по си ведет Зайцев Валентин Евгеньевич, который слишком сильно любит свою методичку 15 летней давности и некоторые алгоритмы вы просто не найдете в инете) питон в этом году был ужасный, так как препод писала код на доске и не давала структурированной теории, но коллоквиумы, естественно, были",3,Да,"на 1 курсе до поступления проводится конкурс: контест + мотивационное письмо, с помощью которого можно попасть на ТОП-ИТ (не советую, потому что очень много требует, но мало делают)","Есть много различных объединений, каждый найдет себе подходящее","3 общежитие на Царева, коворкинг на 1 этаже, первашей, которые набрали хорошие баллы егэ, селят в отремонтированные двушки/трешки",тг: @sanwyofx,
4/22/2025 17:55:40,Москва / область,(НИУ) МАИ,2,№6 Аэрокосмический,12.03.04 Биотехнические системы и технологии,"На данный момент в 4 семестре у меня 16-18 пар в неделю. Вполне адекватная нагрузка, половину семестра нас вообще не трогали. На 1 курсе 22-24 пары в неделю. Нельзя сказать универсально где много задают, где нет - всё зависит исключительно от преподавателя и его требований, но в большей степени прям очень сильно не нагружают. В среднем в семестре 12 зачетных единиц. Экзаменов от 1 до 4. Остальные - зачеты. Есть возможность половину сессии закрыть автоматами если прилагать небольшие усилия в течение семестра, это огромный плюсик.",4,4,"1) Очень много старых преподавателей, которые буквально еле-еле передвигаются. Процентов 40-50 из них это деды лет по 80+ . Некоторые преподаватели реально не совсем дружат с головой. Но это абсолютно нормальное явление в любом вузе. (несомненно  есть  и правда крутые преподаватели)
2) Странная образовательная программа с большим количеством левых пар. Как я поняла, такого раньше не было. Но буквально с 1 курса приходя на пары по математике или другим важным предметам слышалась фраза: ""нам сократили часы, поэтому будем очень быстро всё проходить"". 
3)Деканат не любит своих студентов. (говорю конкретно про деканат 6 института). В комиссии по отчислению в октябре слили 20% студентов с потока,  имевших задолженность по одному предмету за 1 семестр (уточню, что предмет был очень проблемный, тк преподавательница немного не в себе см п.1), в то время как деканат другого инстита буквально сказал ""ходите дети, только сдайте"". А смерть близкого родственника не является уважительной причиной наличия этого долга
4)Старые кабинеты и учебные корпуса. Да ремонт постепенно как-то делается, но 70% аудиторий выглядят как в СССР","Нет конкретного уровня. В начале обучения пишется тест, благодаря которому определяется ваш уровень и далее весь поток  распределяют на группы в зависимости от уровня (может быть и такое что в вашей группе по английскому окажется 0 человек из вашей группы в которой вы учитесь).  Но если честно, не особо понимаю смысл подобной кампании, ведь дальше все группы проходят одну и ту же программу, занимаются по одному и тому же учебнику. Нагрузка по английскому также зависит от преподавателя, лично у меня максимально лайтовая добрая женщина, в течение года делаешь чутка заданий и в конце получаешь свой зачет. У каких-то моих одногруппников наоборот - очень сильно напрягают. В общем тут не угадаешь. При этом нельзя сказать, что вы выучите язык или улучшите уровень своего языка. Максимум сохраните текущий, но в целом этот предмет максимально бесполезный имхо

В качестве иностранного языка можно выбрать не английский, а другой. Список точно не скажу, но думаю это базовые европейские языки (немецкий, французский, испанский). Вроде как есть возможность изучения китайского (маи очень тесно дружит с одним университетом в Китае), иностранцы могут ходить на русский в качестве иностранного.",3,"На 1 курсе в 1 семестре был предмет ""Информационные технологии"", где в целом при умении можно было заниматься на любом языке, но для чайников приветствовался Python. При этом с нуля нам ничего не объясняли, преподавательница рекомендовала только какие-то сторонние источники для изучения, при этом требовала очень много)))

На других предметах (теоретическая механика, численные методы и тп) можно было использовать любой язык программирования, в основном рекомендовался Матлаб, маткад. Но опять же этому не обучали, предполагалось, что вы уже знаете-умеете. 

*моя специальность тесно не связана с программированием, поэтому в полной мере оценить качество я не могу (ежели люди, обучающиеся на таких направлениях)

",2,Да,Распределение происходит сразу после выхода приказа о зачислении. Вы сами распределяете в порядки приоритетности профили и дальше как повезет уже))). Но с первого дня учебы вы будете в группе с одним  конкретным профилем. ,"Есть много различных объединений, каждый найдет себе подходящее","В маи 9 корпусов общежитий. Есть как блочного, так и квартирного типа. В каждой есть коворкинги. Лично я живу в Альфе (Дубосековская, 5). Коридорного типа. Условия хорошие, относительно новый ремонт (2-4 года), хорошая кухня, душевая и тп. В комнатах живут в основном по 3 человека, реже по 2. В комнатах можно холодильник, микроволновку, чайник. Комендантского часа нет, можно уйти/прийти в любое время. Гостей приводить можно с 8 до 23. Тараканы были,  иногда можно увидеть одного раз  в месяц, регулярно их травят. Но в целом ничего критичного, жить можно. ","вкшка https://vk.com/varenichkina
тг @varenichkina",Физика
6/1/2023 17:55:45,Москва / область,МГМУ (Первый МГМУ) им. Сеченова,1,ПИШ «Интеллектуальные системы тераностики»,30.05.02 Медицинская биофизика,"Основная нагрузка на 1 курсе по химии,вышмату,биологии и анатомии",5,4,,3,3,1,1,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,
